station,latitude,longitude
FINCH STATION,43.7827501,-79.41488829825582
ST ANDREW STATION,43.6477917,-79.3848711
KIPLING STATION,43.63753245,-79.53560410315569
GREENWOOD STATION,43.6824765,-79.3302798
ISLINGTON STATION,43.645335,-79.5248163
BROADVIEW STATION,43.6770471,-79.35839530606879
PIONEER VILLAGE STATION,43.7768779,-79.5089377
BATHURST STATION,43.66641590196867,-79.41130918066413
BESSARION STATION,43.7690604,-79.37588370821047
COLLEGE STATION,43.6606617,-79.3827952
LAWRENCE WEST STATION,43.7148335,-79.44374061169376
SHERBOURNE STATION,43.67218771983478,-79.37648191432166
EGLINTON STATION,43.7049424,-79.3985309
NORTH YORK CENTRE STATION,43.7686787,-79.4126298
ST CLAIR WEST STATION,43.6842388,-79.4153753
KING STATION,43.6485227,-79.3777728
LANSDOWNE STATION,43.6593524,-79.44319175000001
WARDEN STATION,43.7111204,-79.2790432
LESLIE STATION,43.7704145,-79.3676705
LAWRENCE STATION,43.7250043,-79.4022502
ST PATRICK STATION,43.6548199,-79.3882736
ST GEORGE STATION,43.6686549,-79.398109
BAY STATION,43.6701851,-79.3902694
CHESTER STATION,43.6782277,-79.3525143
CASTLE FRANK STATION,43.6734986,-79.3690458
JANE STATION,43.6500872,-79.4833259
YORK MILLS STATION,43.7451771,-79.4059651
DUFFERIN STATION,43.6602635,-79.4353869
YORKDALE STATION,43.7246418,-79.4475031
KENNEDY STATION,43.7325599,-79.2638992
SHEPPARD-YONGE STATION,43.7616974,-79.4118887
OSSINGTON STATION,43.6623665,-79.4265095
OSGOODE STATION,43.6508016,-79.3865409
ROYAL YORK STATION,43.648159,-79.5110647
QUEEN STATION,43.6529083,-79.3794575
GLENCAIRN STATION,43.709568,-79.441296
PAPE STATION,43.6800489,-79.3445666
ST CLAIR STATION,43.687873,-79.391838
KEELE STATION,43.6553768,-79.4599058
MAIN STREET STATION,43.6892547,-79.3012838
RUNNYMEDE STATION,43.6517581,-79.4759426
VICTORIA PARK STATION,43.6940902,-79.2885591
EGLINTON WEST STATION,43.6996804,-79.4361224
FINCH WEST STATION,43.765132699999995,-79.49102291851625
OLD MILL STATION,43.6501618,-79.495091
WELLESLEY STATION,43.665403,-79.3836001
DONLANDS STATION,43.6808549,-79.3377699
WOODBINE STATION,43.6864139,-79.3126246
YORK UNIVERSITY STATION,43.7741232,-79.4996291
DAVISVILLE STATION,43.6976475,-79.3969607
HIGHWAY 407 STATION,43.7833141,-79.5230877
DUPONT STATION,43.6747046,-79.406983
COXWELL STATION,43.6839754,-79.3229654
DON MILLS STATION,43.775347,-79.3459439
BAYVIEW STATION,43.7667987,-79.3873787
QUEEN'S PARK STATION,43.6596838,-79.3901923
DOWNSVIEW PARK STATION,43.75348,-79.4782844
MUSEUM STATION,43.6668462,-79.3933506
SUMMERHILL STATION,43.68229585,-79.39077690652948
VAUGHAN METROPOLITAN CENTRE STATION,43.7942413,-79.5274638
HIGH PARK STATION,43.6540856,-79.4660951
DUNDAS STATION,43.6565367,-79.3810223
SPADINA STATION,43.6672546,-79.403828
UNION STATION,43.6447101,-79.38013965704317
CHRISTIE STATION,43.6640809,-79.4185289
ROSEDALE STATION,43.67646405,-79.38853674148251
DUNDAS WEST STATION,43.65673098568642,-79.4538194909717
BLOOR-YONGE STATION,43.6707855,-79.3856867
WILSON STATION,43.734787,-79.4508764
SHEPPARD WEST STATION,43.74925275,-79.46222522403818
